Sales Package,Model Number,Part Number,Series,Color,Type,Suitable For,Battery Backup,Power Supply,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Expandable Memory,Graphic Processor,Number of Cores,Operating System,Mic In,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Pointer Device,Included Software,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,price,off_percentage,rating,Model Name,Battery Cell,Clock Speed,Backlit Keyboard,Processor Generation,Cache,OS Architecture,Supported Operating System,HDMI Port,Hardware Interface,Finger Print Sensor,EMMC Storage Capacity,RAM Frequency,System Architecture,Chipset,RPM,Multi Card Slot,Sound Chip,Ethernet,Security Chip,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,RJ45,Refresh Rate,HDD Capacity,Memory Slots,Lock Port,Antivirus,Other Accessories,NFC Support,Dock Port,Firewire Port,RJ11,VGA Port,Read/Write Speed,Laptop Bag,TGP,Stylus Included,Inbuilt 4G LTE,Color Gamut,Brightness,Wireless WAN,Recovery Options,International Warranty,Face Recognition,S-video,Optane Memory,Cloud Storage
"MacBook Air, 30 W USB-C Power Adapter, USB-C Charge Cable (2m), User Guide, Warranty Documents",MGN63HN/A,MGN63HN/A,2020 Macbook Air,Space Grey,Thin and Light Laptop,Processing & Multitasking,Upto 15 Hours,30 W AC Adapter,No,Apple,M1,Yes,256 GB,8 GB,DDR4,Apple M1 Chip,Upto 16 GB,NA,8,Mac OS Big Sur,Yes,"2 x Thunderbolt / USB 4 Ports (Supports Charging, DisplayPort, Thunderbolt 3 (Upto 40 Gbps), USB 3.1 (2nd Gen, Upto 10 Gbps))",No,33.78 cm (13.3 inch),2560 x 1600 Pixel,"Quad LED Backlit IPS Display (227 PPI, 400 nits Brightness, Wide Colour (P3), True Tone Technology)",Built-in Speakers,Three-mic Array with Directional Beamforming,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos Playback",IEEE 802.11ax (Wi-Fi 6),v5.0,30.41 cm x 1.61 cm x 21.24 cm,1.29 kg,Not Available,720p FaceTime HD Webcam,Backlit Magic Keyboard,Force Touch Trackpad,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",49.9 WHr Li-polymer Battery,1 Year Limited Warra­nty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹81,990",17% off,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, battery, power adapter, user guide",15s-ey1509AU,832R0PA#ACJ,15s (2023),Natural Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,AMD,Athlon Dual Core,Yes,512 GB,8 GB,DDR4,3050U,,AMD Radeon AMD,,Windows 11 Home,,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1366 x 768 Pixel,"HD, micro-edge, BrightView, Brightness: 250 nits, 101 ppi, Color Gamut: 45%NTSC",Yes,Yes,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,,1.69 Kg,Not Available,HP True Vision 720p HD camera,"Full-size, natural silver keyboard with numeric keypad",,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹31,990",8% off,4.1,15s-ey1509AU,3 Cell,2.3 GHz with Turbo Boost Upto 3.2 GHz,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Battery, Adapter, Cables and User Manuals",X515EA-EJ322WS | X515EA-EJ328WS,90NB0TY2-M00JK0 | 90NB0TY2-M047X0,Vivobook 15,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1115G4,,Intel Integrated UHD,2,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit LCD, Anti-glare display, 200nits Brightness, 83 % Screen-to-body ratio",Built-in Speaker,Built-in Microphone,,Wi-Fi 5(802.11ac) (Dual band) 1x1,v4.1,360 x 235 x 19.9 mm,1.80 kg,Not Available,VGA camera,Chiclet Keyboard with Num-key,,,37 WHrs Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹37,990",24% off,4.3,X515EA-EJ322WS | X515EA-EJ328WS,2 Cell,3.0 GHz up to max turbo frequency at 4.1 GHz,No,11th Gen,6,64 bit,Windows 11 Home,1 x HDMI 1.4 port,PCIe NVMe M.2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adapter, User Guide, Warranty Documents",14a-ca0504TU,678M6PA#ACJ,Chromebook x360 Intel,Forest Teal,Chromebook,Processing & Multitasking,,,No,Intel,Celeron Quad Core,No,,4 GB,LPDDR4,N4020,,Intel Integrated UHD Graphics,2,Chrome,Yes,"2 x SuperSpeed USB Type-C 5Gbps signaling rate,(USB Power Delivery, DisplayPort 1.2) 1 x SuperSpeed USB Type-A 5Gbps signaling rate",Yes,35.56 cm (14 Inch),1366 x 768 Pixels,"HD, touch, micro-edge, BrightView, (Brightness: 220 nits, 112 ppi, Color Gamut: 45% NTSC)",Dual speakers,Integrated dual array digital microphones,,Realtek RTL8822CE 802.11a/b/g/n/ac Wi-Fi,v5.0,325 x 219 x 17.9 mm,1.49 Kg,Not Available,HP Wide Vision 720p HD camera,"Full-size, jet black keyboard",HP Imagepad with multi-touch gesture support,,47 Wh Li-ion polymer battery,1 Year Onsite warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹18,990",39% off,3.8,14a-ca0504TU,2,2.8,,,4,64 bit,Chrome 64,,,,64 GB,2400 MHz,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-fr4001TU,7J3Z3PA#ACJ,15s (2023) Intel,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,1155G7,,Intel Integrated Integrated,4,Windows 11 Home,Yes,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,358 x 242 x 17.9,1.69 Kg,Not Available,HP True Vision 720p HD camera,"Full-size, backlit natural silver keyboard with numeric keypad",,,41 Wh Li-ion Baery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹55,990",5% off,4.3,15s-fr4001TU,3 Cell,Upto 4.50GHz,Yes,11th Gen,8 MB,64 bit,Windows 11 Home,1 x HDMI 1.4b,,,,,64 bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adapter, User Guide, Warranty Documents",14a-ca0506TU,678M8PA#ACJ,Chromebook x360 Intel,Mineral Silver,Chromebook,Processing & Multitasking,,,No,Intel,Celeron Dual Core,No,,4 GB,LPDDR4,N4020,,Intel Integrated UHD Graphics,2,Chrome,Yes,"2 x SuperSpeed USB Type-C 5Gbps signaling rate (USB Power Delivery, DisplayPort 1.2), 1 x SuperSpeed USB Type-A 5Gbps signaling rate",Yes,35.56 cm (14 Inch),1366 x 768 Pixels,"HD, touch, micro-edge, BrightView (Brightness: 220 nits, 112 ppi, Color Gamut: 45% NTSC)",Dual speakers,Integrated dual array digital microphones,,Realtek RTL8822CE 802.11a/b/g/n/ac Wi-Fi,v5.0,325 x 219 x 17.9 mm,1.49 Kg,Not Available,HP Wide Vision 720p HD camera,"Full-size, jet black keyboard",HP Imagepad with multi-touch gesture support,,47 Wh Li-ion polymer battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹18,990",41% off,3.8,14a-ca0506TU,2,2.8,,,4,64 bit,Chrome 64,,,,64 GB,2400 MHz,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adaptor, Quick Start Guide, Warranty Document",15ALC6,82KU0238IN,IdeaPad,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,Upto 9.0 Hour,"65W Round Tip (2 Pin, Wall Mount)",Yes,AMD,Ryzen 5 Hexa Core,Yes,512 GB,16 GB,DDR4,5500U,16 GB,AMD Radeon AMD,6,Windows 11 Home,Yes,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (Support Data Transfer Only)",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, IPS, Brightness: 300 nits, Anti-glare",Built-in 1.5W Dual Stereo Speakers,Built-in Dual Array Microphone,Dolby Audio,802.11ac 2 x 2,v5.0,359.2 x 236.5 x 19.9 mm,1.65 kg,Not Available,HD 720p with Privacy Shutter,"Backlit, English",,Microsoft Office Home & Student 2021,"Integrated 45Wh, Surface Treatment: IMR (In-Mold Decoration by Roller)",2 Year warranty,Carry-In,Manufacturing Defects,Physical Damage,1 Year,"₹49,490",42% off,4.3,IdeaPad 3,,"Base Frequency 2.1 GHz, Max Turbo Boost at 4.0 GHz",Yes,,3 MB,,Windows 11 Home,1 x HDMI 1.4b,M.2 2280 PCIe 3.0 x 4 NVMe,No,,3200 MHz,,AMD SoC Platform,3200,1 x Card Reader (4-in-1 Card Reader),"High Definition (HD) Audio, Realtek ALC3287 Codec",No Onboard Ethernet,Firmware TPM 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, User manual, Adapter",V15 G2 ALC,82KDA022IH,V15,Black,Thin and Light Laptop,Processing & Multitasking,Upto 7.5 Hours,,No,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,DDR4,5500U,,AMD Radeon AMD,,Windows 11 Home,,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD Anti-glare Display,Built-in Speakers,Yes,,802.11ac 2x2 Wi-Fi,v5.1,,1.7 Kg,Not Available,"1MP HD with dual Array Microphone, with Thinkshutter",,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹35,990",48% off,4.2,V15 G2 ALC,2 Cell,2.1 GHz with Turbo Boost Upto 4.0 GHz,No,,,,,1 x HDMI 1.4b,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Laptop :: 1 Power Adaptor:: 1 User Guide:: 1 Warranty Documents,XL30,71008301068,Y1 Plus Neo Intel,Silver,Thin and Light Laptop,Processing & Multitasking,,,No,Intel,Celeron Quad Core,Yes,512 GB,8 GB,LPDDR4X,JSL N5100,,Intel Integrated UHD,,Windows 11 Home,,2 x USB 3.0,No,39.01 cm (15.36 inch),1920 x 1080 Pixel,"Full HD Display (250nits peak brightness, , 87% sRGB) Anti Glare",Build-in Dual Speakers,Yes,,Wi-Fi 5 (802.11ac),v5.1,358.5 x 235.7 x 18.15 mm,1.76 Kg,Not Available,2.0 MP FHD Webcam,Backlit Keyboard,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹24,490",38% off,4.1,XL30,,1.1GHz - 2.8GHz,Yes,11th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",SF314-71,NX.K9PSI.003 / NX.KAWSI.003,Swift 3,Luxury Gold,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i5,Yes,512 GB,8 GB,LPDDR5,12500H,,Intel Integrated Iris Xe,,Windows 11 Home,,"1 x USB 3.2 port with power-off charging, 1 x USB 3.2 port, 1 x USB Type-C port /Thunderbolt 4 port",No,35.56 cm (14 Inch),2880 x 1800 Pixel,"WQXGA display with OLED (Organic Light-Emitting Diode) technology, high-brightness (400 nits) Acer CineCrystal",Two built-in stereo speakers,,,Intel Wireless Wi-Fi 6E AX211,v5.2,312.9 x 214.0 x 17.9 mm,1.4 Kg,Not Available,T-Type HD camera with 1920 x 1080 resolution and 1080p HD video at 60 fps with Temporal Noise Reduction,83-/84-/87-key full-size FineTip backlit keyboard with international language support,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,"₹59,900",31% off,4.5,SF314-71,3 Cell,2.5 GHz with Max Turbo Boost Frequency Up to 4.50 GHz,Yes,12th Gen,,,,1 x HDMI Port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, battery, power adapter, user guide",E1404FA-NK322WS,90NB0ZS2-M003U0,Vivobook Go 14 (2023),Mixed Black,Thin and Light Laptop,Processing & Multitasking,,,Yes,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,LPDDR5,7320U,,AMD Radeon AMD,,Windows 11 Home,,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C",No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",Built-in Speakers,Yes,,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.0,324.5 x 213.9 x 17.9 mm,1.38 Kg,Not Available,720p HD camera With privacy shutter,Chiclet Keyboard,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹38,990",22% off,4.4,E1404FA-NK322WS,,2.4 GHz upto max turbo frequency at 4.1 Ghz,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Laptop :: 1 Power Adaptor:: 1 User Guide:: 1 Warranty Documents,INBook X2 Plus Core i7,71008300612,,Grey,Thin and Light Laptop,Processing & Multitasking,Upto 10 hrs,,No,Intel,Core i7,Yes,1 TB,16 GB,LPDDR4X,1195G7,,Intel Integrated Iris Xe,,Windows 11 Home,,2 x USB 3.0,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, IPS Display (300nits peak brightness, 100% sRGB, NTSC 72%",Built-in Speakers,Yes,,Wi-Fi 5 (802.11ac),v5.1,,1.58 Kg,Not Available,1080P FHD Webcam,Backlit Keyboard,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹52,990",41% off,,INBook X2 Plus Core i7,,MaxTurbo Frequency up to 5.0GHz,Yes,11th Gen,,,,1 x HDMI 1.4,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",GF63 Thin 11UC-867IN,9S7-16R612-867,,Black,Gaming Laptop,Gaming,,,No,Intel,Core i5,Yes,512 GB,8 GB,DDR4,11400H,,NVIDIA GeForce RTX 3050,,Windows 10 Home,Yes,"1 x Type-C USB3.2 Gen.1, 3 x Type-A USB3.2 Gen.1",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 144Hz, 45% NTSC, IPS-Level Panel",Built-in Dual Speakers,Yes,Realtek ALC233,Intel Wi-Fi 6 AX201(2x2 ax),v5.2,359 x 254 x 21.7 mm,1.86 Kg,Not Available,HD type (30fps@720p),Single Backlight Keyboard (Red),,,51 Whr Battery,2 Year Carry-In Warranty Term,Carry in,Manufacturing Defects,Physical Damage,2 Year,"₹58,222",30% off,4.3,GF63 Thin 11UC-867IN,3 Cell,2.70 GHz Max Turbo Boost Frequency Up to 4.50 GHz,Yes,11th Gen,12,64 bit,Windows 10 Home,1 x HDMI (4K @ 30Hz),NVMe PCIe Gen3x4 M.2,No,,,,,,,,Available,,GDDR6,4 GB,Yes,144 Hz,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",XL25,71008300539,INBook X2 Plus,Blue,Thin and Light Laptop,Processing & Multitasking,Upto 10 Hours,65W AC Adapter,No,Intel,Core i3,Yes,256 GB,8 GB,LPDDR4X,1115G4,,Intel Integrated UHD,,Windows 11 Home,Yes,2 x USB 3.0,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"IPS FHD Display (300nits peak brightness, 100% sRGB, NTSC 72%)",Built-in Speakers,,,Wi-Fi 5 (802.11ac),v 5.1,,1.58 Kg,Not Available,1080P FHD Webcam,,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,"₹31,490",30% off,4.2,XL25,,MaxTurbo Frequency up to 4.10GHz,Yes,11th Gen,,64 bit,Windows 11 Home,1 x HDMI 1.4,,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, battery, adapter, cables and user manuals",Inspiron 3511,D560611WIN9BE,Inspiron,Carbon,Thin and Light Laptop,Everyday Use,Upto 7 hours,,Yes,Intel,Core i3,Yes,256 GB,8 GB,DDR4,115G4,16GB,Intel Integrated UHD,2,Windows 11 Home,Yes,"2 x USB 3.2 Gen 1, 1 x USB2.0",No,39.62 cm (15.6 inch),1920 x 1080 pixel,Full HD Anti Glare,Yes,Yes,Waves Maxx Audio Pro,802.11ac,v5.0,236 x 386 x 19 mm,1.85 kg,Not Available,HD,English International Non Backlit Keyboard,Touchpad,Office Home and Student 2019 included,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,"₹43,990",20% off,4,Inspiron 3511,3 cell,1.7 GHz upto max turbo frequency at 4.1 Ghz,No,11th Gen,6M,64 bit,Windows 11,1x HDMI 1.4 port,M.2 SATA,No,,2666 MHz,,,,"SD Media Card Reader (SD, SDHC, SDXC)",,Available,,,,No,,1 TB,2,Kensington Lock Port,McAfee,,,,,,,,,,,,,,,,,,,,
"Laptop, Adaptor & Manual",3520,IN3520RVTGV001ORB1,,Black,Laptop,Processing & Multitasking,Upto 4 Hours,,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,,,Intel Integrated Integrated,,Windows 11 Home,,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD WVA AG, 120Hz Refresh Rate, 250nits Brightness, Narrow Border Display",,,,,Yes,,1.65 kg,Not Available,,Standard Keyboard,,,41WHrs,1 Year Onsite Warranty,Onsite,laptop,NA,1 Year,"₹38,480",56% off,,Inspiron,3 Cell,,,11th Gen,,64 bit,Windows 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",15-fd0022TU,7Q6Z3PA#ACJ,15s (2023) Intel,Diamond White,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1335U,16 GB,Intel Integrated Integrated,10,Windows 11 Home,Yes,"1 x USB Type-C 10Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD, micro-edge, anti-glare, Brightness: 250 nits, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,,Realtek Wi-Fi 6 (2x2),v5.3,358 x 242 x 19.9,1.6 Kg,Not Available,HP Wide Vision 720p HD camera,"Full-size, backlit soft grey keyboard with numeric keypad",,,41 Wh Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹64,490",11% off,4.1,15-fd0022TU,3 Cell,3.40GHz Upto 4.60GHz,Yes,13th Gen,12 MB,64 bit,Windows 11 Home,1 x HDMI 2.1,,,,,64 bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, User manual, Adapter",TP E14 Gen 4,21E3S04W00,,Black,Thin and Light Laptop,Processing & Multitasking,Upto 9.4 Hours,,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,1235U,,Intel Integrated Iris Xe,,Windows 11 Home,,"1 x USB 2.0, 1 x USB 3.2 Gen 1 (Always On), 1 x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",No,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD Anti-glare Display,Yes,Yes,,"Wi-Fi 6 AX201, 802.11ax 2x2 Wi-Fi",v5.1,324 x 220.7 x 18.9 mm,1.59 Kg,Not Available,"HD 720p, with privacy shutter, fixed focus",,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,"₹70,990",37% off,,TP E14 Gen 4,3 Cell,1.3 GHz with Turbo Boost Upto 4.4 GHz,,12th Gen,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adapter, User Guide, Warranty Documents",15s- eq1560AU,6Q0M8PA#ACJ,,Jet Black,Thin and Light Laptop,"Performance, Processing & Multitasking",,,No,AMD,Ryzen 3 Dual Core,Yes,512 GB,8 GB,DDR4,3250U,,AMD Radeon Radeon,2,Windows 11 Home,Yes,"1x SuperSpeed USB Type-C 5Gbps signaling rate, 2x SuperSpeed USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"FHD, micro-edge,anti-glare, (Brightness 220 nits, 141 ppi, Color Gamut 45% NTSC)",Dual Speakers,Integrated dual array digital Microphones,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v5.0,358 x 242 x 17.9 mm,1.69 Kg,Not Available,HP True Vision 720p HD camera,Full-size island-style Jet Black keyboard with numeric keypad,HP Imagepad with multi-touch gesture support Precision Touchpad Support,,"41 Wh Li-ion, Support battery fast charge",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹33,790",26% off,4.3,15s- eq1560AU,3,"2.6 GHz base clock, up to 3.5 GHz max",,,4,64 bit,Windows 11 Home,1x HDMI 1.4b,PCIe NVMe,,,2400 MHz,64,,,1x multi-format SD media card reader,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Battery, Adapter, Cables and User Manuals",X515EA-BQ522WS,90NB0TY2-M00JP0 �| 90NB0TY2-M26780,Vivobook 15,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1135G7,,Intel Integrated Iris Xe,4,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD 16:9 Aspect ratio, LED Backlit, 200nits, 45% NTSC Color Gamut, Anti-glare display",Built-in Speaker,Built-in Microphone,,Wi-Fi 5(802.11ac) (Dual band) 1x1,v4.1,360 x 235 x 19.9 mm,1.80 kg,Not Available,VGA camera,Chiclet Keyboard with Num-key,,,37 WHrs Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹47,990",31% off,4.2,X515EA-EJ522WS,2 Cell,2.4 GHz upto max turbo frequency at 4.2 Ghz,No,11th Gen,8,64 bit,Windows 11 Home,1 x HDMI 1.4 port,PCIe NVMe M.2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Battery, Adapter, Cables and User Manuals, ROG Flow Sleeve (2022), Stylus Pen",GZ301ZC-LD123WS,90NR07Z1-M00670,ROG Flow Z13 (2022),Black,Gaming Laptop,Gaming,,100 W AC Adapter,Yes,Intel,Core i7,Yes,512 GB,16 GB,LPDDR5,12700H,,NVIDIA GeForce RTX 3050,8,Windows 11 Home,Yes,"1 x Thunderbolt 4 support DisplayPort, 1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 2 Type-C support DisplayPort / power delivery / G-SYNC",Yes,34.04 cm (13.4 Inch),1920 x 1200 Pixel,"FHD+, Refresh Rate 120Hz, Response Time 30ms, Viewing Angle 89/89/89/89, Panel Tech IPS-level, Brightness 500, Contrast 1000:1, Glossy display",Built-in Dual Speakers,Built-in 3-microphone array,Smart Amplifier Technology,Wi-Fi 6E(802.11ax) (Dual band) 2 x 2,v5.2,302 x 220 x 5.6 mm,1.18 Kg,Not Available,"720P HD camera (Front), 8MP camera (Back)",Backlit Chiclet Keyboard 1-Zone RGB,,,56WHrs Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹1,23,604",42% off,4.4,GZ301ZC-LD123WS,4 cell,2.3 GHz GHz with Max Turbo Boost Frequency Up to 4.70 GHz,Yes,12th Gen,24,64 bit,Windows 11 Home,,PCIe NVMe M.2,,,,,,,,,,,GDDR6,4 GB,,120 Hz,,2,,,"ROG Flow Sleeve (2022), Stylus Pen",,,,,,,,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",XL21,71008300108,X1 Slim Series,Starfall Grey,Thin and Light Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business",Up to 11 hours,65W AC Adapter,No,Intel,Core i3,Yes,256 GB,8 GB,LPDDR4X,1005G1,,Intel Integrated UHD Graphics,4,Windows 11 Home,Yes,2x USB 3.0,No,35.56 cm (14 inch),1920 x 1080 Pixels,"FHD, IPS Display (300nits peak brightness, 100% sRGB, NTSC 72%)",Built In Dual Speakers,Built In Dual Digital Array Microphone,DTS Audio Processing,,v5.1,323.3 x 14.8 x 211.1 mm,1.24 kg,Not Available,HD Webcam,Backlit Keyboard,,NA,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹35,990",28% off,4.2,XL21,,"Base 1.2 GHz, Upto 3.4 GHz",Yes,10th Gen,,64 bit,Windows 11 Home,1x HDMI 1.4,NVMe PCIe,No,,4266 MHz,64,Intel Core i3,,Yes,Intel SST,,,,,,60 Hz,,1,,,,No,,,,,,,,,,,,,,,,,,
"Laptop, battery, adapter, cables and user manuals",Inspiron 5320,D560755WIN9S D560853WIN9S,,Platinum Silver,Thin and Light Laptop,Processing & Multitasking,Upto 7 hours,,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR5,1240P,,Intel Integrated UHD,12,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 2 x Thunderbolt 4.0 (PowerDelivery & DisplayPort)",No,33.78 cm (13.3 Inch),1920 x 1080 Pixel,QHD+ WVA AG 300 nits LBL with Compfort View Plus,Yes,Yes,Waves Maxx Audio Pro,Intel Wi-Fi 6E (6GHz) AX211 2x2,v5.2,296 x 213 x15.6 mm,1.25 Kg,Not Available,HD,Backlit Keyboard,Touchpad,,54 WHr Battery,1 Year Onsite Hardware Service,Onsite,Manufacturing Defects,Accidental Damage,1 Year,"₹82,990",16% off,4.1,Inspiron 5320,4 Cell,1.2 GHz upto max turbo frequency at 4.4 Ghz,Yes,12th Gen,12,64 bit,Windows 11 Home,1 x HDMI 1.4,M.2 SATA,Yes,,4800 MHz,,,,,,Available,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,
