Sales Package,Model Number,Part Number,Series,Color,Type,Suitable For,Battery Backup,Power Supply,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Expandable Memory,Graphic Processor,Number of Cores,Operating System,Mic In,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Pointer Device,Included Software,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,price,off_percentage,rating,Model Name,Battery Cell,Clock Speed,Backlit Keyboard,Processor Generation,Cache,OS Architecture,Supported Operating System,HDMI Port,Hardware Interface,Finger Print Sensor,EMMC Storage Capacity,RAM Frequency,System Architecture,Chipset,RPM,Multi Card Slot,Sound Chip,Ethernet,Security Chip,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,RJ45,Refresh Rate,HDD Capacity,Memory Slots,Lock Port,Antivirus,Other Accessories,NFC Support,Dock Port,Firewire Port,RJ11,VGA Port,Read/Write Speed,Laptop Bag,TGP,Stylus Included,Inbuilt 4G LTE,Color Gamut,Brightness,Wireless WAN,Recovery Options,International Warranty,Face Recognition,S-video,Optane Memory,Cloud Storage
"Laptop, battery, power adapter, user guide",K3405VF-LY542WS,90NB11B2-M003T0,"Vivobook 14X (2023) For Creator, Intel H-Series",Cool Silver,Gaming Laptop,Processing & Multitasking,,,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,13500H,,NVIDIA GeForce RTX 2050,,Windows 11 Home,,"1 x USB 3.2 Gen 1 Type-C support power delivery, 2 x USB 3.2 Gen 1 Type-A",No,35.56 cm (14 Inch),1920 x 1200 Pixel,"WUXGA, 16:10 aspect ratio, LED Backlit, IPS-level Panel, 60Hz refresh rate, 300nits, 45% NTSC color gamut, Anti-glare display",Built-in Speakers,Yes,,Wi-Fi 6E(802.11ax) (Dual band) 2*2,v5.0,317.1 x 222.5 x 18.9 mm,1.40 Kg,Not Available,720p HD camera With privacy shutter,Backlit Chiclet Keyboard,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹83,990",15% off,,K3405VF-LY542WS,3 Cell,Max Turbo Frequency up to 4.7 GHz,Yes,13th Gen,,,,,,Yes,,,,,,,,,,GDDR6,4 GB,,60 Hz,,,,,,,,,,,,,50 W,,,,,,,,,,,
"Laptop, battery, power adapter, user guide",K3405VFB-KM542WS,90NB11B2-M003V0,"Vivobook 14X OLED (2023) For Creator, Intel H-Series",Cool Silver,Gaming Laptop,Gaming,,,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,13500H,,NVIDIA GeForce RTX 2050,,Windows 11 Home,,"1 x USB 3.2 Gen 1 Type-C support power delivery, 2 x USB 3.2 Gen 1 Type-A",No,35.56 cm (14 Inch),2880 x 1800 Pixel,"2.8K (2880 x 1800) OLED 16:10 aspect ratio, Glossy display, 90Hz refresh rate, 0.2ms response time, 600nits HDR peak Brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion Color depth, PANTONE Validated, 70% less harmful blue light, TUV Rheinland-certified, 85 % Screen-to-body ratio",Built-in Speakers,Yes,,Wi-Fi 6E(802.11ax) (Dual band) 2*2,v5.0,317.1 x 222.5 x 18.9 mm,1.40 Kg,Not Available,720p HD camera With privacy shutter,Backlit Chiclet Keyboard,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹89,990",18% off,4.1,K3405VFB-KM542WS,3 Cell,Max Turbo Frequency up to 4.7 GHz,Yes,13th Gen,,,,,,Yes,,,,,,,,,,GDDR6,4 GB,,90 Hz,,,,,,,,,,,,,50 W,,,,,,,,,,,
"Laptop, battery, power adapter, user guide, Laptop Bag",Prestige 16 A13UCX-250IN,9S7-159452-250,,Urban Silver,Thin and Light Laptop,Processing & Multitasking,,,No,Intel,Core i7,Yes,1 TB,16 GB,LPDDR5,13700H,,NVIDIA GeForce RTX 2050,,Windows 11 Home,,"1 x Type-C (USB3.2 Gen2 / DP) with PD3.1 charging, 1 x Type-C USB3.2 Gen2, 1 x Type-A USB3.2 Gen2",No,40.64 cm (16 Inch),2560 x 1600 Pixel,QHD+ 165Hz 100%DCI-P3,2 x 2W,Yes,,Intel Killer Wi-Fi 6E AX1675(i),v5.2,358 x 258.55 x 16.85 mm,2.1 Kg,Not Available,HD type (30fps@720p),Single Backlit Keyboard (White),,,,2 Year Carry-in warranty,Carry-in,Part Failure,"Physical Damage, Burn, Liquid Spill",,"₹1,44,990",14% off,,Prestige 16 A13UCX-250IN,4 Cell,1.50 GHz up to 5.00 GHz,Yes,13th Gen,,,,1 x HDMI 2.1 (8K @ 60Hz / 4K @ 120Hz),,,,,,,,,,,,GDDR6,4 GB,,165 Hz,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",S3402ZA-KM501WS,90NB0WE1-M007U0,Vivobook S14 OLED Intel EVO H-Series,Neutral Grey,Thin and Light Laptop,Processing & Multitasking,,90W AC Adapter,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,12500H,,Intel Integrated Iris Xe Graphics,8,Windows 11 Home,Yes,"1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-A, 2x Thunderbolt 4 supports display, power delivery",No,35.56 cm (14 Inch),2880 x 1800 Pixels,"OLED, (Peak brightness 600 Nits, 100% DCI-P3 color gamut)",Built in speaker,Built in array microphone,,Wi-Fi 6E(802.11ax),v5.2,316.4 x 224.5 x 18.9 mm,1.50 Kg,Not Available,"720p HD camera, with privacy shutter",Backlit Chiclet Keyboard,,,"70WHrs, 3S1P, Li-ion Battery",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹74,990",24% off,4.4,S3402ZA-KM501WS,3,4.5,Yes,12th Gen,18,64 bit,Windows 11 Home,1x HDMI 2.0b,NVMe PCIe,Yes,,,64,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Battery, Adapter, Cables And User manuals",Inspiron 3525,D560760WIN9B,,Carbon Black,Thin and Light Laptop,"Everyday Use, Processing & Multitasking, Travel & Business",Upto 7 hours,,Yes,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,DDR4,5425U,16,AMD Radeon Radeon Graphics,4,Windows 11 Home,Yes,"1x USB 3.2 Gen 1 port, 1x USB 3.2 Gen 1 Type-C port, 1x USB 2.0 port",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,FHD WVA AG Narrow Border 120Hz 250 nits,Yes,Yes,Waves Maxx Audio Pro,802.11ac 1x1 WiFi,Yes,358 x 235 x 21.0 mm,1.68 Kg,Not Available,HD Camera,Standard Keyboard,Touchpad,,41 WHr,1 Year Onsite Hardware Service,Onsite,Manufacturing Defects,Accidental Damage,1 Year,"₹40,990",18% off,4.1,Inspiron 3525,Upto 7 hours,2.7 GHz upto max turbo frequency at 4.1 Ghz,No,,8,64 bit,Windows 11,1x HDMI 1.4 port,M.2 SATA,No,,3200 MHz,64,,,1x SD Card 3.0,,Yes,,,,,,,2,Kensington Lock Port,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",PH315-55,PH315-55/ PH315-55-77U9/ NH.QGPSI.003,Predator Helios 300,Abyssal Black,Gaming Laptop,Gaming,,280 W 5.5 PHY AC adapter,No,Intel,Core i7,Yes,1 TB,16 GB,DDR5,12700H,Upto 32 GB,NVIDIA GeForce RTX 3060,14,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 ports, 1 x USB Type-C port (Thunderbolt 4), 1 x USB 3.2 Gen 2 port with power-off charging",No,39.62 cm (15.6 Inch),2560 x 1440 Pixel,"QHD IPS (In-Plane Switching) technology, high-brightness (300 nits) Acer ComfyViewTM LED-backlit TFT LCD, supporting 165 Hz, G-Sync, 3 ms Overdrive 16:9 aspect ratio, DCI-P3 100%",Built-in Dual Speakers,Built-in Dual Microphone,"DTS X:Ultra Audio, featuring optimized Bass, Loudness, Speaker Protection with up to 6 custom content modes by smart amplifier | Supported in Windows Spatial Sound for PC Gaming with DTS license integrated | Immersive audio rendering over headphones and internal speakers | Acer Purified.Voice technology with dual built-in microphones. Features include far-field pickup, keystroke suppression, adaptive beam forming, and pre-defined personal and conference call modes. | Compatible with Cortana with Voice | Acer TrueHarmony technology for lower distortion, wider frequency range, headphone-like audio and powerful sound",Killer Wireless Wi-Fi 6E 1675i 802.11 a/b/g/n/ac/ax wireless LAN,v5.2,359.4 x 276.4 x 25.9 mm,2.6 Kg,Not Available,1080p HD,103-/104-/107-key FineTip RGB-backlit keyboard with independent standard numeric keypad,Touchpad with Multi-touch Gesture Support,"Acer Care Center, Acer Product Registration, Planet9, PredatorSense",,1 Year International Travelers Warranty (ITW),Onsite,Manufacturing Defects,Physical Damage,,"₹1,49,990",16% off,5,PH315-55,4 cell,3.50 GHz with Max Turbo Boost Frequency Up to 4.70 GHz,Yes,12th Gen,24,64 bit,Windows 11 Home,1 x HDMI Port,,No,,,,,,,,Killer Ethernet E2600,,GDDR6,6 GB,Yes,,,,,,,,,,,,,,,,,,,,,1 Year,,,,
"Laptop, Power Adapter, Cable",255 G8,6E3Z0PA,G8,Black,Laptop,"Travel & Business, Entertainment, Everyday Use, Processing & Multitasking",3 hours,HP Smart 65 W EM External AC power adapter,No,AMD,Ryzen 3 Dual Core,Yes,512 GB,8 GB,DDR4,AMD Ryzen™ 3 processor 3250U,,NA Radeon Graphics,,DOS,,1 SuperSpeed USB Type-C 5Gbps signaling rate,No,39.62 cm (15.6 inch),1366 x 768$$Pixels pixel,39.6 cm (15.6) diagonal HD display,,,,IEEE 802.11ac Wireless LAN Standard,V3.0,324 x 225 x 17.9 mm,1.47 kg,Not Available,,"Full-size, textured keyboard with numeric keypad",Touchpad with multi-touch gesture support,DOS,FreeDOS offers free and complete DOS-compatible environment to run legacy softwares and support embedded systems,1 year Domestic warranty,Visit HP Service Centre,MANUFACTURING DEFECT,"Physical Damges , Mother Board Issues",1 Year,"₹28,890",17% off,,255 G8 Laptop,"HP Long Life 3-cell, 41 Wh Li-ion",2.6 GHz base clock,No,,4 MB L3 cache 2 Cores,,COMES WITH DOS NOT WINDOWS,1 HDMI,512 GB PCIe® NVMe™ SSD,No,,2400 MHz,,,2400,,,,,,,Yes,,,2 SODIMM,,,,No,,,,,NA,No,,No,,,,IEEE 802.11ac Wireless LAN Standard,NA,,,,,
"Laptop, Battery, Adapter, Cables and User Manuals",Vostro 3425,D552305WIN9BE,,Carbon Black,Thin and Light Laptop,Everyday Use,Upto 7 hours,,Yes,AMD,Ryzen 3 Quad Core,Yes,256 GB,8 GB,DDR4,5425U,16,AMD Radeon AMD,4,Windows 11 Home,Yes,"1 x USB3.2 Gen 1 Type-C port, 1 x USB3.2 Gen1 port?, 1 x USB 2.0",No,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD WVA AG Narrow Border 250 nits,Yes,Yes,Waves Maxx Audio Pro,802.11ac 1x1 WiFi,Yes,323 x 220 x 23.0 mm,1.48 Kg,Not Available,HD Webcam,Standard Keyboard,,,54 WHr Li-ion Battery,1 Year Onsite Hardware Service,Onsite,Manufacturing Defects,Accidental Damage,1 Year,"₹41,568",18% off,4.3,Vostro 3425,4,2.7 GHz upto max turbo frequency at 4.1 Ghz,No,,8,64 bit,Windows 11 Home,1 x HDMI 1.4 port,M.2 SATA,No,,,,,,,,Available,,,,Yes,,,2,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",15s-du3519TX,6C4B5PA#ACJ,15s Intel,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1135G7,16,NVIDIA GeForce MX450,4,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"FHD, IPS, micro-edge, anti-glare (Brightness: 250 nits, 141 ppi Color Gamut: 45%NTSC)",Dual Speakers,Integrated dual array digital Microphones,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v5.0,358 x 242 x 19.9 mm,1.75 Kg,Not Available,HP True Vision 720p HD camera,"Full-size, backlit natural silver keyboard with numeric keypad",Touchpad with multi-touch gesture support,,"41 Wh Li-ion, Support battery fast charge",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹55,990",24% off,3.9,15s-du3519TX,3,4.2,Yes,11th Gen,,64 bit,Windows 11 Home,1 x HDMI 1.4b,PCIe NVMe,,,3200 MHz,64,,,1 x multi-format SD media card reader,,Integrated 10/100/1000 GbE LAN,,GDDR6,2 GB,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop, Power Adaptor, User Guide, Warranty Documents",Inspiron 3501,D560397WIN9BE,Inspiron,Accent Black,Laptop,Processing & Multitasking,Upto 8 hours,,Yes,Intel,Core i3,Yes,256 GB,4 GB,DDR4,1005G1,Upto 16 GB,Intel Integrated UHD,2,Windows 10 Home,Yes,"2 x USB 3.2 (1st Gen), 1 x USB 2.0",No,38.1 cm (15 inch),1920 x 1080 Pixel,Full HD LED Backlit Anti-glare Display,Built-in Speakers,Built-in Microphones,Waves Maxx Audio Pro,IEEE 802.11ac,v5.0,249 x 364 x 20 mm,1.83 kg,Not Available,720P HD Webcam,English International Non Backlit Keyboard,Touchpad,Microsoft Office Home and Student 2019,Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"₹37,490",16% off,4.4,,3 cell,1.2 GHz with Turbo Boost Upto 3.4 GHz,No,10th Gen,4 MB,64 bit,,1 x HDMI Port (v1.4),M.2 SATA,No,,2666 MHz,64 bit,,,"3-in-1 Card Reader (SD, SDHC, SDXC)",,Yes,,,,Yes,,,2 Slots,Kensington Lock Slot,McAfee Multi Device Security 15 Months Subscription,,,,,,,,,,,,,,,,,,,,
